Identificador|periodo|DIAS1|DIAS2|DIAS3|DIAS4|DIAS5|DIAS6|DIAS0|Numero_Producto|GENERO|Saldo_Mora1|Cupo|Saldo_Mora2|Saldo1|Saldo_Mora3|Saldo2|Saldo_Mora4|Saldo3|Saldo_Mora5|Saldo4|Saldo_Mora6|Saldo5|Saldo6
92966525716|201709|7|6|0|0|0|4|5|1||||||||||||||
92967390638|201709|0|0|0|0|0|0|0|1|M|294572,35|14602478,93|294571,71|14493557,79|294570,52|14383360,76|294569,96|14271872,86|294569,05|14159078,99|294567,62|14044963,84|13929511,94
92967489284|201712|0|0|0|0|0|0|0|1||||||0|0|12262|3524442|49553|3516034,8|41122|2989794,73|2830734,73
92966459151|201809|0|0|0|0|0|NA|0|2|F|20130|8114453.23|203592|9738321.38|32433|32433|32433|32433|32433|32433|32433|32433|0
92966529824|201712|0|0|0|0|0|5|4|1||||||||||||||
92966512700|201806|0|0|0|0|0|9|10|1||76388,22|637731,11|11588|406329,11|66417,34|525424,11|0|0|0|109400|8943|1353876|1278948,39
92966450755|201712|0|0|0|0|0|0|0|1||||||||||0|0|0|0|0
92966523051|201803|0|0|0|0|0|0|0|1|M|0|0|0|0|0|0|0|0|0|0|0|0|0
92966453630|201709|60|90|118|152|180|208|28|1|M|0|0|0|0|0|0|203|84|0|1|0|1|390020
92966481284|201809|13|43|0|14|42|NA|9|1|F|379241.45|2254661|473922.83|2306039|49683|2385061|49671.31|1815149.18|42383|1769669.87|126447.32|1806339.87|2188784.18
92966511918|201809|0|0|0|0|0|NA|0|2|M|0|71439066.02|0|70259256.64|0|69065583.51|2053319.3|69911203.03|0|66635992.47|0|65425339.64|66202285.82
92966516353|201809|0|0|28|0|0|NA|28|1|M|2201964.56|44818284.26|2201453.61|43093244.72|2200917.9|41349375.59|2200385.2|39586499.56|2187603.85|37792157.89|4428764.42|38256896.48|36427684.02
92966524996|201803|0|NA|NA|NA|NA|NA|0|1||0|14831173,68|0|13854847,76|0|12866371,67|0|11865593,59|1171390,16|12023750,86|2370090,15|12196608,33|9945877,4
92966453761|201809|0|0|0|0|0|NA|0|1|M|||||||||||||
92966447574|201806|38|39|36|8|38|35|37|1|M|4004187,49|35179016,51|4885854,32|35614812,74|34968385,71|35053449,45|35537658,36|35622722,1|36125173|36210236,74|36694445,65|36779509,39|30143745,78
92966512362|201709|0|0|0|0|0|0|0|2|M|353869|32459163,99|331439|30847130,49|346622|30458569,6|321773|29952802,71|316146|29519968,67|292931|29020686,79|28599801,45
92966498191|201712|0|0|0|0|0|0|0|1|F|23984|841492|24081|826282|22918|880038|21547|875198|22184|859556|23081|844034|827736
92966522913|201709|0|0|0|0|0|0|0|1|M|8282,14|8282,14|2346,15|2346,15|0|0|0|0|0|0|0|0|0
92966470321|201803|12|13|11|13|13|41|10|4|F|900286,68|69810747,62|0|68834243,07|0|68757188,25|0|68679287,41|901521,46|69502052,99|901482,8|69422394,36|69341831,36
92967476867|201709|0|0|0|0|0|0|0|1|M|||||||||||||
92966446219|201803|0|0|0|0|30|0|26|1||1103677,81|13948071,16|174955|12498318,61|434620|12772263,61|1084763,07|13063159,61|185133|11543878,1|515408,28|17429965,86|17826289,86
